CODE,NAME
"C_33UFHL","Roughton Ward"
"C_33UCHB","Hellesdon South East Ward"
"C_33UFGT","Cromer Town Ward"
"C_33UBGW","Buckenham Ward"
"C_33UFGY","Happisburgh Ward"
"C_33UHHM","Hempnall Ward"
"C_33UEGU","Brancaster Ward"
"C_33UHHP","Hingham and Deopham Ward"
"C_33UCGR","Brundall Ward"
"C_33UFGR","Chaucer Ward"
"C_33UEHP","North Downham Ward"
"C_33UBHE","Eynsford Ward"
"C_33UEHX","St. Margarets with St. Nicholas Ward"
"C_33UGFW","Eaton Ward"
"C_33UDGQ","Yarmouth North Ward"
"C_33UBJD","Watton Ward"
"C_33UHJC","Stoke Holy Cross Ward"
"C_33UHJB","Scole Ward"
"C_33UCGP","Aylsham Ward"
"C_33UCHJ","Spixworth with St. Faiths Ward"
"C_33UBHU","Templar Ward"
"C_33UDGJ","Magdalen Ward"
"C_33UGFY","Mancroft Ward"
"C_33UFHW","Walsingham Ward"
"C_33UFHJ","Poppyland Ward"
"C_33UCGQ","Blofield with South Walsham Ward"
"C_33UHGU","Abbey Ward"
"C_33UEHE","Fairstead Ward"
"C_33UFHU","The Runtons Ward"
"C_33UFHS","Suffield Park Ward"
"C_33UEJF","Valley Hill Ward"
"C_33UBHL","Nar Valley Ward"
"C_33UCHQ","Thorpe St. Andrew South East Ward"
"C_33UBHG","Harling and Heathlands Ward"
"C_33UBHF","Haggard De Toni Ward"
"C_33UHHH","Easton Ward"
"C_33UGGB","Sewell Ward"
"C_33UFGW","Gaunt Ward"
"C_33UDGM","St. Andrews Ward"
"C_33UFGX","Glaven Valley Ward"
"C_33UGGE","University Ward"
"C_33UFHA","Holt Ward"
"C_33UEGZ","Dersingham Ward"
"C_33UEHD","Emneth with Outwell Ward"
"C_33UFHM","Scottow Ward"
"C_33UFGU","Erpingham Ward"
"C_33UCHL","Sprowston East Ward"
"C_33UDGD","Claydon Ward"
"C_33UEHS","Old Gaywood Ward"
"C_33UFGZ","High Heath Ward"
"C_33UGGF","Wensum Ward"
"C_33UEHY","Snettisham Ward"
"C_33UHHJ","Forncett Ward"
"C_33UFHD","Lancaster South Ward"
"C_33UDGK","Nelson Ward"
"C_33UCHC","Hevingham Ward"
"C_33UHHX","Poringland with the Framinghams Ward"
"C_33UEHW","St. Lawrence Ward"
"C_33UBJA","Two Rivers Ward"
"C_33UBHD","East Guiltcross Ward"
"C_33UCHR","Wroxham Ward"
"C_33UHJD","Stratton Ward"
"C_33UGFS","Bowthorpe Ward"
"C_33UEHQ","North Lynn Ward"
"C_33UBHZ","Thetford-Saxon Ward"
"C_33UDGF","Fleggburgh Ward"
"C_33UCHP","Thorpe St. Andrew North West Ward"
"C_33UEJA","South Downham Ward"
"C_33UEJN","Wissey Ward"
"C_33UGGD","Town Close Ward"
"C_33UEHA","Docking Ward"
"C_33UCHK","Sprowston Central Ward"
"C_33UDGE","East Flegg Ward"
"C_33UBHX","Thetford-Castle Ward"
"C_33UBHA","Dereham-Humbletoft Ward"
"C_33UEHZ","South and West Lynn Ward"
"C_33UHHW","Old Costessey Ward"
"C_33UBHM","Necton Ward"
"C_33UFHQ","Sheringham South Ward"
"C_33UEGW","Burnham Ward"
"C_33UCGX","Drayton South Ward"
"C_33UHHT","Newton Flotman Ward"
"C_33UBHW","Thetford-Abbey Ward"
"C_33UHHD","Dickleburgh Ward"
"C_33UHJH","Wicklewood Ward"
"C_33UGFU","Crome Ward"
"C_33UCGT","Buxton Ward"
"C_33UGGA","Nelson Ward"
"C_33UFHF","North Walsham East Ward"
"C_33UFHZ","Wensum Ward"
"C_33UDGH","Lothingland Ward"
"C_33UHJK","Bressingham and Burston Ward"
